address_id,house_number,house_name,street,city,county,post_code
6544263885,563,Kelham Island,Parsons Green Lane,Brighton,Herefordshire,LE1 1AA
1464102031,368,The Leverton,Wilton Road,Sheffield,Dorset,YO1 1AA
6590069980,831,The Drapery,Gillespie Road,Doncaster,Cumbria,BN1 2AA
8080898804,427,The Forbury,Bloomsbury Square,Plymouth,Berkshire,CV1 3AA
9065369813,711,Jericho Road,Bloomsbury Square,Luton,Norfolk,PE1 1AA
7362173172,1108,Sovereign Square,Elgin Avenue,Dudley,Worcestershire,NN1 1AA
2953601880,340,Sovereign Square,Gillespie Road,Bolton,Oxfordshire,EX1 2AA
1997061171,778,Cathedral Quarter,Askew Road,Brighton,Surrey,WD1 1AA
265017912,317,The Triangle,Church Street,Blackpool,Leicestershire,RG1 1AA
4747428704,1156,The Lanes Apartments,Barons Court Road,Norwich,Cambridgeshire,MK1 2AA
7625363082,867,The Marina,Margravine Road,Southampton,Northumberland,BH1 3AA
690509146,254,The Hoe Apartment Hotel,Fitzroy Square,Leeds,Staffordshire,LE1 3AA
4571167148,842,The Broadway,Chipping Norton Street,Crawley,Bristol,FY1 2AA
8858082133,1270,The Lace House,Kensington Palace Gardens,Reading,Warwickshire,DY1 1AA
2682380557,1146,The Rufus Centre,Askew Road,Doncaster,Buckinghamshire,DY1 3AA
3008065392,181,The Quay,The Crescent,Wolverhampton,Greater Manchester,GL1 3AA
365713767,1298,Deansgate Quays,Parsons Green Lane,Leeds,East Sussex,YO1 3AA
6118607494,597,The Lexington,Bloomsbury Square,Peterborough,Norfolk,GL1 1AA
4328235230,344,XYZ Apartments,Barnsbury Road,Manchester,West Sussex,OL1 2AA
7843428607,842,The Interchange,Kensington Palace Gardens,Liverpool,Worcestershire,CR1 1AA
1830808907,1085,St Paul's Place,Lyttelton Road,Sheffield,Oxfordshire,BN1 1AA
5916191723,1140,Castlegate,The Boltons,Salisbury,Merseyside,EX1 2AA
6642066561,227,Smithfield,The Boltons,Cambridge,Nottinghamshire,YO1 1AA
6458468679,683,Trinity Walk,Canonbury Grove,Salisbury,Wiltshire,B1 3AA
5266260572,400,St Paul's Place,Bloomsbury Square,Bristol,Hertfordshire,BL1 3AA
6076879548,1408,Bede House,Park Avenue Road,Carlisle,Lincolnshire,SO1 2AA
8550167215,268,Southgate,Park Avenue Road,Manchester,East Sussex,HU1 1AA
5408341801,685,Wapping Wharf,Sutherland Avenue,Sunderland,North Yorkshire,TS1 2AA
3926858273,377,Moda Living,Randolph Crescent,Luton,Cheshire,CA1 3AA
253723965,1271,The Unity Building,Barnsbury Road,Sunderland,Essex,DN1 3AA
6432963656,245,Humber Street,Thornhill Road,Liverpool,Lincolnshire,DY1 2AA
1657825868,1218,The Randolph,Elgin Avenue,Kingston upon Hull,Cheshire,HU1 1AA
6650908940,673,One Park Lane,Wilton Road,Carlisle,Berkshire,HU1 2AA
5259750527,305,The Regency,Notting Hill Gate,Ipswich,Lincolnshire,EX1 2AA
6477531755,1487,Jericho Road,Wilton Road,Lincoln,Hampshire,WD1 3AA
4970190046,1498,The Interchange,Margravine Road,Lincoln,Norfolk,B1 1AA
7132549766,1492,The Quadrant,Alverstone Street,Birmingham,Shropshire,TS1 1AA
6803925013,1394,The Curve,Alverstone Street,Milton Keynes,Buckinghamshire,WD1 1AA
2069833984,317,City Walls,Addison Road,Portsmouth,Bristol,SP1 3AA
8092596204,732,The Avenue,Askew Road,Plymouth,Suffolk,ST1 2AA
8281533390,414,The Rufus Centre,Notting Hill Gate,Leeds,Nottinghamshire,GL1 2AA
2443656276,931,St Paul's Place,Askew Road,Stoke-on-Trent,Oxfordshire,WV1 3AA
3279168732,1243,Princes Dock,Highbury Fields,Chester,Cumbria,NR1 3AA
2815775611,708,The Maltings,Highbury Fields,Bradford,Devon,LN1 1AA
5298271111,189,Arena Central,Parsons Green Lane,Carlisle,Bristol,MK1 2AA
5307772904,494,The Wave,Highbury Fields,York,South Yorkshire,FY1 2AA
2546994468,271,Victoria Gate,Chipping Norton Street,Blackburn,Durham,LE1 3AA
9074609589,52,Castlegate,Elgin Avenue,Sheffield,Merseyside,NR1 3AA
4160671926,682,Victoria Gate,Elgin Avenue,Newcastle upon Tyne,Nottinghamshire,RG1 1AA
2051089531,1334,The Brunel Centre,Askew Road,Reading,Somerset,B1 2AA
1294122231,1268,Kampus,Gillespie Road,Norwich,Staffordshire,PL1 2AA
5397094137,175,Market Square,Sutherland Avenue,Milton Keynes,East Sussex,CB1 1AA
6733297957,1144,Ropewalks,Church Street,Stoke-on-Trent,Devon,OX1 2AA
2835138269,1371,The Barbican,Lyttelton Road,Bristol,West Sussex,ST1 2AA
4161236344,190,One Park Lane,Highbury Fields,Middlesbrough,Isle of Wight,BD1 1AA
2388338018,1088,The Docks,Bloomsbury Square,Bolton,Northamptonshire,WV1 3AA
4847222970,835,The Strand,Barnsbury Road,Reading,East Sussex,FY1 1AA
1774912449,412,Humber Street,Fitzroy Square,Sheffield,Berkshire,HU1 2AA
7573076207,339,The Waterfront,Randolph Crescent,Sheffield,Tyne and Wear,BH1 1AA
8990483581,200,The Waterfront,The Crescent,Coventry,Worcestershire,CH1 1AA
7630136404,1377,The Vines,Fitzroy Square,Plymouth,Warwickshire,HU1 3AA
8963712141,955,Hampton,Askew Road,Lincoln,Derbyshire,LE1 1AA
2749684978,440,The Big One Apartments,Notting Hill Gate,Kingston upon Hull,Greater Manchester,PL1 2AA
333988744,390,The Bridges,Bramerton Street,Cambridge,City of London,YO1 2AA
6154626959,1258,Waterfront,Alverstone Street,Carlisle,City of London,FY1 3AA
3031105850,406,Bathurst Buildings,Park Avenue Road,Rochdale,Devon,HU1 2AA
2738032168,1132,Waterdale,Elgin Avenue,Birmingham,Nottinghamshire,YO1 2AA
3137040515,371,Rochdale Exchange,Lauderdale Road,Wolverhampton,Lincolnshire,FY1 1AA
6318137017,1041,Hampton,Parsons Green Lane,Sheffield,Greater London,LS1 3AA
9104083458,147,The Exchange,Marylebone High Street,Middlesbrough,Greater Manchester,TS1 2AA
1171261543,50,Transporter Bridge Apartments,Weltjie Road,Salisbury,Cornwall,WF1 3AA
8441238464,253,Capability Green,Notting Hill Gate,Bolton,Leicestershire,IP1 1AA
507955641,920,The Grafton,The Boltons,Plymouth,Suffolk,IP1 3AA
377055085,1155,Cathedral Quarter,Barnsbury Road,Sunderland,North Yorkshire,OX1 3AA
9687133783,1319,The Grafton,Wimbledon Park Road,Peterborough,Cumbria,LS1 1AA
4600789261,1416,Friar Street,Marylebone High Street,Sunderland,North Yorkshire,BS1 1AA
1348636521,548,The Waterfront,Weltjie Road,Cambridge,Rutland,LU1 3AA
