"buyer_id","first_name","last_name","date_of_birth"
"BU00001","Trish","Fedder","6/28/1974"
"BU00002","Sula","Yurukhin","3/18/1971"
"BU00003","Horton","Ferrario","5/3/1988"
"BU00004","Felic","Franceschielli","1/5/1964"
"BU00005","Curry","Weild","4/23/2000"
"BU00006","Bernadene","Axston","2/8/1986"
"BU00007","Jasen","Archard","8/1/1974"
"BU00008","Reta","Faithfull","5/17/1961"
"BU00009","Cointon","Ayrs","7/27/1976"
"BU00010","Gale","McIlwrick","9/13/2004"
"BU00011","Gunar","Mathers","7/8/1963"
"BU00012","Logan","Wardle","2/16/1997"
"BU00013","Vivyan","Annear","9/9/1963"
"BU00014","Annmaria","Kearley","10/7/1990"
"BU00015","Rubia","Frawley","10/19/1969"
"BU00016","Meryl","Litchfield","9/13/1964"
"BU00017","Karleen","Sussems","5/7/1975"
"BU00018","Lenore","Brownell","9/20/1987"
"BU00019","Douglas","Gobat","1/1/1977"
"BU00020","Danny","Lownes","2/7/1974"
"BU00021","Codi","Almack","7/1/1962"
"BU00022","Judye","Iacobacci","9/4/1988"
"BU00023","Berry","Conklin","12/12/1986"
"BU00024","Loy","Cosgrive","3/24/1990"
"BU00025","Amelie","Baden","4/29/1982"
"BU00026","Rafe","Matys","4/13/1970"
"BU00027","Gael","O'Keevan","4/25/2001"
"BU00028","Zedekiah","Murt","11/28/1962"
"BU00029","Cortney","Cejka","4/19/1967"
"BU00030","Giavani","Dulen","4/17/1988"
"BU00031","Marvin","Tuckerman","10/11/1992"
"BU00032","Thom","Croux","10/9/1961"
"BU00033","Tanhya","Mosedall","6/5/1961"
"BU00034","Petronella","Edsall","11/6/2001"
"BU00035","Phillis","Tatershall","4/4/1963"
"BU00036","Marius","Mancell","4/16/1975"
"BU00037","Seymour","Mabb","4/16/1963"
"BU00038","Linette","Shorbrook","4/5/2003"
"BU00039","Rena","Woodhead","3/29/1997"
"BU00040","Raymund","Houston","11/27/1985"
"BU00041","Catrina","Hawkridge","8/23/1994"
"BU00042","Cherry","Stockney","5/24/2001"
"BU00043","Raimund","Hammerich","7/20/1993"
"BU00044","Christoph","Penwright","7/1/2003"
"BU00045","Merlina","Behrendsen","6/24/1985"
"BU00046","Gaylene","Jaksic","4/6/1977"
"BU00047","Grissel","Iannuzzi","9/16/1969"
"BU00048","Katti","Newbold","9/20/2004"
"BU00049","Harland","Hassekl","12/22/1966"
"BU00050","Desi","Quinion","10/9/1960"
"BU00051","Gaylor","Handford","11/19/2002"
"BU00052","Caterina","Gosalvez","12/13/1967"
"BU00053","Dewain","Stener","4/30/1981"
"BU00054","Jaclyn","Northleigh","12/9/1971"
"BU00055","Jocelyn","Ayliffe","2/4/1966"
"BU00056","Debbie","Stanyland","4/2/1960"
"BU00057","Peria","Gilloran","9/22/2002"
"BU00058","Madonna","Scuse","8/25/1980"
"BU00059","Floyd","Heberden","2/2/1991"
"BU00060","Thom","Nadin","2/9/1978"
"BU00061","Ario","Stockhill","9/6/1989"
"BU00062","Quill","Reuter","7/28/2003"
"BU00063","Cletis","Casley","6/30/1961"
"BU00064","Dorisa","Pulver","4/19/2003"
"BU00065","Vivi","Frostdick","4/16/1984"
"BU00066","Angelique","Capell","1/4/1997"
"BU00067","Simone","Youngs","3/28/1974"
"BU00068","Dierdre","Reese","11/6/1995"
"BU00069","Murielle","McGuggy","3/3/1978"
"BU00070","Ammamaria","Kropach","3/17/2002"
"BU00071","Catharine","Jeavon","5/16/1985"
"BU00072","Darci","Jelf","3/25/1964"
"BU00073","Evie","Oldrey","7/24/1993"
"BU00074","Jourdan","Bassford","6/17/1971"
"BU00075","Glynnis","Liddyard","8/15/1969"
"BU00076","Shelba","Wofenden","1/31/1987"
"BU00077","Bren","Mullis","2/3/1995"
"BU00078","Hyacinthia","Beales","12/29/1964"
"BU00079","Boot","Poel","6/17/1960"
"BU00080","Bartholomew","Forsdike","6/1/1994"
"BU00081","Gustie","Paslow","1/18/1961"
"BU00082","Stacey","Salliss","8/5/1992"
"BU00083","Valenka","Hurring","10/2/1983"
"BU00084","Caralie","Whitchurch","6/12/1970"
"BU00085","Forster","Murkin","3/26/1977"
"BU00086","Avram","Peverell","6/9/1991"
"BU00087","Ester","Zimmerman","11/7/1961"
"BU00088","Javier","Lindblad","3/3/1981"
"BU00089","Haley","Midson","6/2/1966"
"BU00090","Alexandre","Hillan","1/11/1978"
"BU00091","Edgardo","Renals","6/10/1986"
"BU00092","Alexander","Francais","8/2/1975"
"BU00093","Hyman","Coulbeck","10/6/1976"
"BU00094","Renault","Bloxsom","1/9/1993"
"BU00095","Blane","Fowley","7/12/1974"
"BU00096","Charil","Kall","11/4/1976"
"BU00097","Patsy","Gainsborough","9/4/1962"
"BU00098","Elizabet","McConville","2/1/1992"
"BU00099","Elbertina","Sollowaye","3/29/1984"
"BU00100","Evania","Rozycki","11/14/1967"
"BU00101","Cathe","MacKey","4/1/1962"
"BU00102","Halette","Durward","11/12/1971"
"BU00103","Antonius","Buret","6/7/1967"
"BU00104","Trip","Smurthwaite","6/1/1999"
"BU00105","Bastien","Woolliams","1/10/1973"
"BU00106","Francesca","Tooker","2/16/1975"
"BU00107","Aylmer","Dennehy","5/3/1970"
"BU00108","Thatcher","Mehmet","6/15/1989"
"BU00109","Marve","Sabate","11/3/1976"
"BU00110","Donica","Reyna","4/7/1981"
"BU00111","Glynis","Lampe","2/29/1972"
"BU00112","Freddie","Brazear","7/4/1990"
"BU00113","Leelah","Gowdy","1/3/1989"
"BU00114","Arliene","Wortt","7/3/1986"
"BU00115","Lauri","Canadine","4/17/1978"
"BU00116","Mord","Cristol","10/15/1990"
"BU00117","Florentia","Ikins","10/26/1990"
"BU00118","Carlen","Crouse","6/7/2000"
"BU00119","Adan","Lettley","4/23/1995"
"BU00120","Joya","Case","7/14/1974"
"BU00121","Susi","Lebarree","4/20/1992"
"BU00122","Cully","Stowers","1/28/1985"
"BU00123","Harvey","Cookes","10/25/2001"
"BU00124","Devondra","Gwillim","8/25/1989"
"BU00125","Arny","Sawtell","9/7/1970"
"BU00126","Darin","Spiring","10/23/1972"
"BU00127","Horten","Nagle","4/7/1984"
"BU00128","Giovanna","Larcombe","8/13/1988"
"BU00129","Dickie","Larmouth","7/13/1992"
"BU00130","Allie","Dunston","12/10/1966"
"BU00131","Kirsteni","Chat","12/28/1986"
"BU00132","Holly-anne","Fackney","3/4/1994"
"BU00133","Cleve","Lowndes","9/3/1983"
"BU00134","Nolana","Searles","10/17/2001"
"BU00135","Lilias","Spinetti","4/15/1986"
"BU00136","Gay","Heaven","3/13/1962"
"BU00137","Shayne","Fowlestone","8/14/1962"
"BU00138","Hubey","MacLucais","8/1/2002"
"BU00139","Chalmers","Matushevitz","9/23/1985"
"BU00140","Mignonne","Fuge","8/28/1991"
"BU00141","Nina","Schole","8/19/1990"
"BU00142","Zacharia","Blackaller","1/13/1980"
"BU00143","Noreen","Norway","12/31/1980"
"BU00144","Mortimer","Titterrell","3/11/1971"
"BU00145","Isaak","Dyke","10/17/1985"
"BU00146","Alma","Schaben","5/2/1992"
"BU00147","Annissa","MacGhee","3/27/1979"
"BU00148","Lindsay","MacLaverty","12/30/1974"
"BU00149","Zach","Kynastone","6/20/1962"
"BU00150","Kathleen","Roundtree","10/16/1982"
"BU00151","Richmond","Carrier","2/13/1982"
"BU00152","Lil","Feaveryear","3/20/1979"
"BU00153","Cyrus","Bygrove","1/31/1964"
"BU00154","Keelia","Dymoke","10/18/1996"
"BU00155","Bronnie","Joannet","11/20/1982"
"BU00156","Lina","McGeady","1/27/1977"
"BU00157","Trevor","Litster","6/19/1982"
"BU00158","Babbie","Beckwith","9/26/1989"
"BU00159","Joycelin","Terrey","9/30/1965"
"BU00160","Bevvy","Bickley","2/4/1975"
"BU00161","Letizia","Blumfield","5/3/1964"
"BU00162","Zonda","Maillard","4/5/1996"
"BU00163","Pasquale","Fruchter","1/19/1985"
"BU00164","Bridget","Wanek","11/20/1964"
"BU00165","Gardner","Lockett","4/17/1971"
"BU00166","Mirna","Monday","4/5/1963"
"BU00167","Aubert","Service","3/25/1966"
"BU00168","Laure","Bratch","4/14/1975"
"BU00169","Clemmie","Kennham","8/15/1969"
"BU00170","Jillie","Woodrough","8/20/1961"
"BU00171","Livvie","Wonfor","1/13/1987"
"BU00172","Bernhard","Bickell","5/1/1979"
"BU00173","Ryley","Gadesby","8/21/1969"
"BU00174","Sherry","Delue","4/27/1963"
"BU00175","Federica","Awmack","9/4/1981"
"BU00176","Emera","Gorey","3/14/1982"
"BU00177","Keen","Klagge","4/6/2004"
"BU00178","Marline","Olenichev","2/11/1992"
"BU00179","Lizzie","Casserly","3/28/1974"
"BU00180","Fergus","Bromige","7/15/1982"
"BU00181","Blake","Malbon","5/19/1980"
"BU00182","Hillier","Skeel","7/11/1990"
"BU00183","Haroun","Boatright","7/16/1997"
"BU00184","Dionisio","McLenahan","2/28/1967"
"BU00185","Evvie","Torrie","11/23/1970"
"BU00186","Papagena","Schober","2/18/1978"
"BU00187","Floyd","Tinghill","6/1/1977"
"BU00188","Susana","Artus","9/24/1968"
"BU00189","Avrit","Milier","8/18/1992"
"BU00190","Celestina","Withinshaw","9/7/1978"
"BU00191","Selena","Fullegar","4/18/1996"
"BU00192","Wayland","Ballantine","1/12/1978"
"BU00193","Anny","Arnaez","4/21/1999"
"BU00194","Charlot","Arlidge","8/21/1989"
"BU00195","Patsy","Palser","11/21/1964"
"BU00196","Adrien","MacDermand","7/22/1969"
"BU00197","Flory","Smye","11/2/1966"
"BU00198","Brooks","Dargie","11/2/1992"
"BU00199","Melonie","Kivelhan","9/14/1993"
"BU00200","Odille","Coupland","6/5/1994"
"BU00201","Orly","Bigley","6/5/1971"
"BU00202","Binny","Heighton","3/4/1993"
"BU00203","Shell","Worster","10/21/1990"
"BU00204","Bonita","Badby","10/23/1995"
"BU00205","Winnifred","Mawson","10/26/1984"
"BU00206","Margeaux","Valiant","5/16/2004"
"BU00207","Bridget","Klemenz","4/22/1978"
"BU00208","Sonnnie","Bazeley","1/6/1981"
"BU00209","Odelle","Chessum","11/20/1975"
"BU00210","Kippy","Jasiak","10/11/1999"
"BU00211","Christin","Rupprecht","4/4/1987"
"BU00212","Leandra","Sigfrid","12/16/1995"
"BU00213","Brande","Bedder","1/18/2002"
"BU00214","Carlee","Jozwicki","3/12/1993"
"BU00215","Stephanie","Punyer","5/13/1981"
"BU00216","Marquita","Scrane","5/30/1967"
"BU00217","Colleen","Conaghy","10/19/1990"
"BU00218","Angelica","Lamp","11/17/1993"
"BU00219","Gustav","Arndell","8/1/1966"
"BU00220","Tammi","Banaszewski","3/13/1962"
"BU00221","Wyatt","Rudland","3/3/1993"
"BU00222","Ealasaid","Jovasevic","7/9/1973"
"BU00223","Van","Meharry","2/5/1971"
"BU00224","Alfie","Docksey","1/21/1992"
"BU00225","Francis","McCourtie","6/22/1968"
"BU00226","Joleen","Gonoude","9/5/2004"
"BU00227","Ruddy","Willcott","12/2/1983"
"BU00228","Marie","Ferriday","11/6/1965"
"BU00229","Gayelord","Ragles","5/2/1993"
"BU00230","Lauralee","Gent","7/23/1979"
"BU00231","Ade","Leddy","2/28/1965"
"BU00232","Giuditta","Praill","12/21/1972"
"BU00233","Dorisa","Gebby","5/19/1960"
"BU00234","Davidson","Fishley","3/30/1986"
"BU00235","Jacynth","Gulleford","7/9/1997"
"BU00236","Haze","Faragher","11/21/1974"
"BU00237","Vera","Arents","9/6/1984"
"BU00238","Edy","Lochet","6/2/1991"
"BU00239","Ravid","Cavalier","7/2/2004"
