address_id,house_number,house_name,street,city,county,post_code
AD00001,563,Kelham Island,Parsons Green Lane,Brighton,Herefordshire,LE1 1AA
AD00002,368,The Leverton,Wilton Road,Sheffield,Dorset,YO1 1AA
AD00003,831,The Drapery,Gillespie Road,Doncaster,Cumbria,BN1 2AA
AD00004,427,The Forbury,Bloomsbury Square,Plymouth,Berkshire,CV1 3AA
AD00005,711,Jericho Road,Bloomsbury Square,Luton,Norfolk,PE1 1AA
AD00006,1108,Sovereign Square,Elgin Avenue,Dudley,Worcestershire,NN1 1AA
AD00007,340,Sovereign Square,Gillespie Road,Bolton,Oxfordshire,EX1 2AA
AD00008,778,Cathedral Quarter,Askew Road,Brighton,Surrey,WD1 1AA
AD00009,317,The Triangle,Church Street,Blackpool,Leicestershire,RG1 1AA
AD00010,1156,The Lanes Apartments,Barons Court Road,Norwich,Cambridgeshire,MK1 2AA
AD00011,867,The Marina,Margravine Road,Southampton,Northumberland,BH1 3AA
AD00012,254,The Hoe Apartment Hotel,Fitzroy Square,Leeds,Staffordshire,LE1 3AA
AD00013,842,The Broadway,Chipping Norton Street,Crawley,Bristol,FY1 2AA
AD00014,1270,The Lace House,Kensington Palace Gardens,Reading,Warwickshire,DY1 1AA
AD00015,1146,The Rufus Centre,Askew Road,Doncaster,Buckinghamshire,DY1 3AA
AD00016,181,The Quay,The Crescent,Wolverhampton,Greater Manchester,GL1 3AA
AD00017,1298,Deansgate Quays,Parsons Green Lane,Leeds,East Sussex,YO1 3AA
AD00018,597,The Lexington,Bloomsbury Square,Peterborough,Norfolk,GL1 1AA
AD00019,344,XYZ Apartments,Barnsbury Road,Manchester,West Sussex,OL1 2AA
AD00020,842,The Interchange,Kensington Palace Gardens,Liverpool,Worcestershire,CR1 1AA
AD00021,1085,St Paul's Place,Lyttelton Road,Sheffield,Oxfordshire,BN1 1AA
AD00022,1140,Castlegate,The Boltons,Salisbury,Merseyside,EX1 2AA
AD00023,227,Smithfield,The Boltons,Cambridge,Nottinghamshire,YO1 1AA
AD00024,683,Trinity Walk,Canonbury Grove,Salisbury,Wiltshire,B1 3AA
AD00025,400,St Paul's Place,Bloomsbury Square,Bristol,Hertfordshire,BL1 3AA
AD00026,1408,Bede House,Park Avenue Road,Carlisle,Lincolnshire,SO1 2AA
AD00027,268,Southgate,Park Avenue Road,Manchester,East Sussex,HU1 1AA
AD00028,685,Wapping Wharf,Sutherland Avenue,Sunderland,North Yorkshire,TS1 2AA
AD00029,377,Moda Living,Randolph Crescent,Luton,Cheshire,CA1 3AA
AD00030,1271,The Unity Building,Barnsbury Road,Sunderland,Essex,DN1 3AA
AD00031,245,Humber Street,Thornhill Road,Liverpool,Lincolnshire,DY1 2AA
AD00032,1218,The Randolph,Elgin Avenue,Kingston upon Hull,Cheshire,HU1 1AA
AD00033,673,One Park Lane,Wilton Road,Carlisle,Berkshire,HU1 2AA
AD00034,305,The Regency,Notting Hill Gate,Ipswich,Lincolnshire,EX1 2AA
AD00035,1487,Jericho Road,Wilton Road,Lincoln,Hampshire,WD1 3AA
AD00036,1498,The Interchange,Margravine Road,Lincoln,Norfolk,B1 1AA
AD00037,1492,The Quadrant,Alverstone Street,Birmingham,Shropshire,TS1 1AA
AD00038,1394,The Curve,Alverstone Street,Milton Keynes,Buckinghamshire,WD1 1AA
AD00039,317,City Walls,Addison Road,Portsmouth,Bristol,SP1 3AA
AD00040,732,The Avenue,Askew Road,Plymouth,Suffolk,ST1 2AA
AD00041,414,The Rufus Centre,Notting Hill Gate,Leeds,Nottinghamshire,GL1 2AA
AD00042,931,St Paul's Place,Askew Road,Stoke-on-Trent,Oxfordshire,WV1 3AA
AD00043,1243,Princes Dock,Highbury Fields,Chester,Cumbria,NR1 3AA
AD00044,708,The Maltings,Highbury Fields,Bradford,Devon,LN1 1AA
AD00045,189,Arena Central,Parsons Green Lane,Carlisle,Bristol,MK1 2AA
AD00046,494,The Wave,Highbury Fields,York,South Yorkshire,FY1 2AA
AD00047,271,Victoria Gate,Chipping Norton Street,Blackburn,Durham,LE1 3AA
AD00048,52,Castlegate,Elgin Avenue,Sheffield,Merseyside,NR1 3AA
AD00049,682,Victoria Gate,Elgin Avenue,Newcastle upon Tyne,Nottinghamshire,RG1 1AA
AD00050,1334,The Brunel Centre,Askew Road,Reading,Somerset,B1 2AA
AD00051,1268,Kampus,Gillespie Road,Norwich,Staffordshire,PL1 2AA
AD00052,175,Market Square,Sutherland Avenue,Milton Keynes,East Sussex,CB1 1AA
AD00053,1144,Ropewalks,Church Street,Stoke-on-Trent,Devon,OX1 2AA
AD00054,1371,The Barbican,Lyttelton Road,Bristol,West Sussex,ST1 2AA
AD00055,190,One Park Lane,Highbury Fields,Middlesbrough,Isle of Wight,BD1 1AA
AD00056,1088,The Docks,Bloomsbury Square,Bolton,Northamptonshire,WV1 3AA
AD00057,835,The Strand,Barnsbury Road,Reading,East Sussex,FY1 1AA
AD00058,412,Humber Street,Fitzroy Square,Sheffield,Berkshire,HU1 2AA
AD00059,339,The Waterfront,Randolph Crescent,Sheffield,Tyne and Wear,BH1 1AA
AD00060,200,The Waterfront,The Crescent,Coventry,Worcestershire,CH1 1AA
AD00061,1377,The Vines,Fitzroy Square,Plymouth,Warwickshire,HU1 3AA
AD00062,955,Hampton,Askew Road,Lincoln,Derbyshire,LE1 1AA
AD00063,440,The Big One Apartments,Notting Hill Gate,Kingston upon Hull,Greater Manchester,PL1 2AA
AD00064,390,The Bridges,Bramerton Street,Cambridge,City of London,YO1 2AA
AD00065,1258,Waterfront,Alverstone Street,Carlisle,City of London,FY1 3AA
AD00066,406,Bathurst Buildings,Park Avenue Road,Rochdale,Devon,HU1 2AA
AD00067,1132,Waterdale,Elgin Avenue,Birmingham,Nottinghamshire,YO1 2AA
AD00068,371,Rochdale Exchange,Lauderdale Road,Wolverhampton,Lincolnshire,FY1 1AA
AD00069,1041,Hampton,Parsons Green Lane,Sheffield,Greater London,LS1 3AA
AD00070,147,The Exchange,Marylebone High Street,Middlesbrough,Greater Manchester,TS1 2AA
AD00071,50,Transporter Bridge Apartments,Weltjie Road,Salisbury,Cornwall,WF1 3AA
AD00072,253,Capability Green,Notting Hill Gate,Bolton,Leicestershire,IP1 1AA
AD00073,920,The Grafton,The Boltons,Plymouth,Suffolk,IP1 3AA
AD00074,1155,Cathedral Quarter,Barnsbury Road,Sunderland,North Yorkshire,OX1 3AA
AD00075,1319,The Grafton,Wimbledon Park Road,Peterborough,Cumbria,LS1 1AA
AD00076,1416,Friar Street,Marylebone High Street,Sunderland,North Yorkshire,BS1 1AA
AD00077,548,The Waterfront,Weltjie Road,Cambridge,Rutland,LU1 3AA
AD00078,944,Cathedral Quarter,Margravine Road,Gloucester,Hampshire,GL1 3AA
AD00079,324,The iQ Wolverhampton,Addison Road,Oxford,Cornwall,WF1 2AA
AD00080,754,The Bottle Yard Studios,Bramerton Street,Coventry,Greater Manchester,ST1 2AA
AD00081,1483,The Norwich Lanes,Addison Road,Carlisle,Derbyshire,CB1 3AA
AD00082,578,The Waterfront,Wilton Road,Leicester,Cambridgeshire,BH1 1AA
AD00083,260,Linthorpe Road,Thornhill Road,Swindon,Hertfordshire,BS1 3AA
AD00084,345,The Buttermarket,Parsons Green Lane,Bradford,Warwickshire,S1 1AA
AD00085,789,Castlegate,Sutherland Avenue,Wolverhampton,Shropshire,CR1 1AA
AD00086,1251,Bede House,Fitzroy Square,Middlesbrough,Suffolk,EX1 1AA
AD00087,598,The Randolph,Sutherland Avenue,Oxford,Norfolk,SR1 1AA
AD00088,747,The Unity Building,Highbury Fields,Sunderland,East Sussex,HU1 3AA
AD00089,831,Regent Street,Sutherland Avenue,Ipswich,Rutland,BS1 1AA
AD00090,864,Lakeside Village,Wimbledon Park Road,Birmingham,Worcestershire,NR1 1AA
AD00091,131,The Quays,Thornhill Road,Doncaster,Suffolk,NE1 3AA
AD00092,747,High Street,The Crescent,Southampton,Cornwall,BN1 3AA
AD00093,662,The Sands,Church Street,Manchester,Norfolk,BN1 2AA
AD00094,267,The Big One Apartments,Chipping Norton Street,Swindon,Wiltshire,SR1 3AA
AD00095,1387,The Norwich Lanes,Lyttelton Road,Portsmouth,Cheshire,WD1 1AA
AD00096,82,The Waterfront,Bloomsbury Square,Portsmouth,Herefordshire,FY1 3AA
AD00097,24,The Centre MK,Wimbledon Park Road,Bournemouth,Nottinghamshire,NR1 3AA
AD00098,1253,The Harlequin,Askew Road,Watford,Bristol,CA1 1AA
AD00099,780,Moda Living,Chipping Norton Street,Coventry,Nottinghamshire,BH1 3AA
AD00100,829,The Close,Parsons Green Lane,Luton,Lancashire,IP1 3AA
AD00101,1255,Spinningfields Tower,Gillespie Road,Sheffield,Warwickshire,CB1 2AA
AD00102,1177,The Butts,Wilton Road,Salisbury,Cumbria,WD1 1AA
